"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"60","Bonga1","M261","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"61","Bete2","M262","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"62","Bete2","M263","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"631","Bete2","M264","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"641","Bete2","M265","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"651","Bete2","M266","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"66","Bete2","M267","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"67","Bete3","M268","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"68","Bete2","M269","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"70","Mboule","M271","M","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"711","Mboule","M272","M","Mboule","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"72","Mboule","M273","F","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"731","Mboule","M274","M","Mboule","Adolescent",NA,-Inf,-Inf,0,0,"Macao"
"74","Mboule","M275","M","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"751","Mboule","M277","F","","Personne âgée",NA,-Inf,-Inf,4,0,"Macao"
"76","Mboule","M279","F","Mboule","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"771","Mboule","M278","M","Mboule","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"78","Mboule","M280","F","Mboule","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"791","Mboule","M281","F","Mboule","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"801","Mboule","M282","M","Bangui","Adulte",18101.5448824699,18101.5448824699,18101.5448824699,1,1,"Macao"
"811","Mboule","M283","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"821","Mboule","M284","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"83","Mboule","M285","M","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"841","Mboule","M286","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"851","Mboule","M287","F","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"86","Goumakoungou2","M288","M","Mboule","Personne âgée",NA,-Inf,-Inf,7,0,"Macao"
"87","Goumakoungou2","M373","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
