,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref
125,Bele,D210,F,Manfouete,Adulte,2,36361.62125,55481.4052,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
126,Bele,D211,M,Boucyboucy,Enfant,NA,5382.804054,5431.961333,Dongou,Boucyboucy,Dongou,Bele,Bele,NA,NA,NA,NA,NA,0
127,Bele,D212,F,Boucyboucy,Adulte,1,13299.49668,38549.04251,Dongou,NA,NA,NA,NA,Dongou,NA,NA,NA,NA,D213
128,Bele,D213,M,Dongou,Adulte,1,20646.20144,46854.66932,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D212
129,Bele,D214,M,Boucyboucy,Adulte,3,8104.065739,792500.6063,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,D219
130,Bele,D215,M,Boucyboucy,Adolescent,NA,5382.804054,38549.04251,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
131,Bele,D216,M,Djoumbele,Enfant,NA,NA,#NAME?,Dongou,NA,Boucyboucy,Bele,Bele,NA,NA,NA,NA,NA,0
132,Bele,D217,M,Boucyboucy,Enfant,NA,2925.08006,5431.961333,Dongou,NA,Boucyboucy,Bele,Bele,NA,NA,NA,NA,NA,0
133,Bele,D218,F,Boucyboucy,Enfant,NA,5458.60505,5583.563324,Dongou,NA,Boucyboucy,Bele,Bele,NA,NA,NA,NA,NA,0
134,Bele,D219,F,NA,Adulte,3,NA,#NAME?,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D214
135,Tangassi,D22,F,Boucyboucy,Adulte,NA,45884.72646,74720.04786,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D23
136,Mokelegnegne,D220,F,Boucyboucy,Adulte,3,5382.804054,224172.027,Dongou,NA,NA,NA,NA,Djoumbele,NA,NA,NA,NA,D221
137,Mokelegnegne,D221,M,Djoumbele,Adulte,3,190502.0838,263296.9343,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D220
138,Mokelegnegne,D222,M,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Djoumbele,Mokelegnegne,Mokelegnegne,NA,NA,NA,NA,NA,0
139,Mokelegnegne,D223,F,Boucyboucy,Enfant,NA,2766.452284,2925.08006,Dongou,Boucyboucy,Djoumbele,Mokelegnegne,Mokelegnegne,NA,NA,NA,NA,NA,0
140,Massendjo,D224,F,Boucyboucy,Adulte,2,10127.23871,103141.9214,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
141,Mokelegnegne,D225,F,Mabanga,Enfant,NA,3973.473813,5431.961333,Dongou,Boucyboucy,Djoumbele,Mokelegnegne,Mokelegnegne,NA,NA,NA,NA,NA,0
142,Ndzoumbele,D226,M,Bangui,Adulte,4,77781.02875,787280.9667,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D228
