ref,sex,birthplace,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
M177,F,Macao,Macao,NA,NA,NA,13,0,1,0,0,0,0,3,0,6
M39,M,Pap,Macao,NA,NA,NA,4,0,0,0,1,1,0,0,0,1
M67,M,Bangui,Macao,NA,NA,NA,10,0,0,0,1,2,0,0,5,2
M171,F,Macao,Macao,NA,NA,NA,14,0,0,0,1,0,0,3,0,3
M159,F,Bangui,Macao,NA,NA,NA,9,0,0,0,2,1,0,2,0,1
M16,F,Moudjanda,Macao,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
M176,F,Thanry,Macao,32571.7269,32571.7269,32571.7269,3,1,0,0,0,0,0,1,1,0
M19,F,Bangui,Macao,NA,NA,NA,4,0,1,0,0,0,0,1,0,0
M62,M,Bangui,Macao,NA,NA,NA,5,0,0,0,0,2,0,0,0,0
M69,M,Bangui,Macao,NA,NA,NA,4,0,0,0,1,1,0,0,1,0
M158,M,Bangui,Macao,NA,NA,NA,7,0,0,1,1,2,0,0,0,0
M170,F,Macao,Macao,NA,NA,NA,7,0,0,0,0,0,0,2,2,3
M88,M,Bangui,Macao,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
M56,F,Macao,Macao,38589.2467,38589.2467,38589.2467,4,1,0,0,0,0,0,2,0,0
M120,F,Bangui,Macao,11509.7489,11509.7489,11509.7489,3,1,0,0,0,0,0,0,0,1
M121,M,Bangui,Macao,NA,NA,NA,13,0,1,3,1,4,0,0,3,0
M139,M,Bangui,Macao,NA,NA,NA,12,0,0,0,2,2,0,1,0,0
M8,F,Macao,Macao,NA,NA,NA,1,0,0,0,0,1,0,0,0,0
M145,F,Bangui,Macao,NA,NA,NA,7,0,0,0,2,1,0,0,1,1
M153,M,Bangui,Macao,NA,NA,NA,11,0,0,0,2,2,0,0,1,1
M104,F,Bangui,Macao,11840.2979,11840.2979,11840.2979,12,1,0,0,0,0,0,0,4,4
M136,F,Bangui,Macao,NA,NA,NA,4,0,0,0,1,0,1,0,1,1
M82,F,Bangui,Macao,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
M141,F,Bangui,Macao,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
M71,F,Bangui,Macao,NA,NA,NA,2,0,0,0,0,1,0,0,0,0
M70,M,Bangui,Macao,NA,NA,NA,10,0,0,2,0,1,0,0,0,0
M18,M,Macao,Macao,25618.6686,25618.6686,25618.6686,7,2,0,0,1,2,0,2,0,0
M14,M,Bangui,Macao,NA,NA,NA,4,0,0,1,1,0,0,1,0,0
M148,F,Bangui,Macao,NA,NA,NA,7,0,0,0,1,0,0,0,1,0
